reportID	month	day	statefips	spend_accomodation_food	spend_arts_entertainment	spend_all	spend_general_merchandise	spend_grocery_food_store	spend_healthcare_social_assistance	spend_transportation_warehousing	spend_all_inchigh	spend_all_inclow	spend_all_incmiddle
51	1	14	1	0.00281	0.0867	-0.00096	0.0287	-0.00245	-0.00447	-0.0405	0.00525	-0.00271	0.000993
52	1	14	2	0.0108	-0.181	-0.0396	-0.097	-0.0306	0.5	0.0156	-0.0227	.	-0.113
53	1	14	4	-0.0186	-0.123	-0.0072	-0.0195	-0.0197	-0.00452	-0.0079	0.000818	0.0032	-0.0159
54	1	14	5	0.0185	0.0779	-0.0101	-0.0219	0.0124	-0.0649	0.0135	-0.122	-0.0398	0.0152
55	1	14	6	-0.00514	-0.12	-0.00227	-0.00373	-0.00944	0.0322	-0.0292	0.00206	-0.00745	-0.00792
56	1	14	8	0.00164	-0.00553	0.00378	-0.00201	-0.00574	-0.0579	-0.0202	0.0108	0.015	-0.00692
57	1	14	9	-0.00211	0.0476	0.00605	-0.0556	0.0173	-0.208	0.0148	0.00213	-0.0147	0.00825
58	1	14	10	0.0151	-0.488	0.0258	0.118	0.0476	0.932	0.0517	0.0675	0.0939	-0.0263
59	1	14	12	-0.00469	-0.0242	0.00121	-0.00883	0.00815	0.00989	0.0197	0.00255	-0.000851	0.000661
60	1	14	13	-0.00666	0.069	-0.0111	-0.0166	-0.00804	0.0956	-0.0155	-0.0187	0.00434	-0.0126
61	1	14	15	-0.0473	-0.0944	-0.00872	-0.00567	-0.0286	0.46	0.0241	-0.00522	0.0604	-0.0224
62	1	14	16	-0.0274	-0.0831	-0.0263	-0.0179	-0.0421	-0.0688	0.0291	-0.355	-0.0425	-0.0278
63	1	14	17	-0.0166	0.155	0.00803	-0.024	0.00301	-0.0352	0.00512	0.00854	-0.0103	0.012
64	1	14	18	0.0286	0.185	-0.0108	-0.0107	0.0182	0.316	-0.0217	0.0255	0.011	-0.0245
65	1	14	19	-0.0254	-0.223	-0.0301	-0.0811	0.0105	-0.065	-0.0721	-0.0729	0.0107	-0.025
66	1	14	20	-0.00864	0.187	0.0136	-0.0319	0.0137	-0.0939	-0.0292	0.0311	0.00241	0.0205
67	1	14	21	0.0294	-0.0133	0.00286	0.0377	0.0232	-0.0166	0.0146	0.0693	-0.00306	0.00177
68	1	14	22	0.0192	0.0698	-0.011	-0.0217	-0.00654	0.0756	0.0356	-0.0784	-0.0257	-0.0101
69	1	14	23	-0.0376	-0.0427	0.0244	-0.0664	0.0444	0.514	0.0227	-0.0466	0.0326	0.0352
70	1	14	24	0.0827	0.00909	0.0735	0.0861	0.111	-0.0173	-0.00327	0.1	0.0258	0.0353
71	1	14	25	0.0125	-0.0364	0.0206	-0.00694	0.0526	0.0513	0.0121	0.0263	-0.0833	0.0106
72	1	14	26	-0.0649	-0.0484	-0.00711	-0.0348	0.0292	-0.155	-0.0138	-0.00155	-0.0207	-0.00754
73	1	14	27	-0.0199	-0.0781	-0.017	-0.0275	0.00744	-0.0491	0.0362	-0.0244	-0.037	-0.00699
74	1	14	28	-0.0679	-0.0402	-0.0304	-0.0298	-0.0671	-0.524	-0.0154	-0.0384	-0.0208	-0.0185
75	1	14	29	0.106	0.0115	0.0125	0.0241	-0.019	-0.359	-0.0309	-0.00229	0.0396	0.0247
76	1	14	30	-0.0554	-0.0257	0.00841	-0.118	-0.0565	-0.128	-0.0249	-0.0175	-0.00487	0.0272
77	1	14	31	-0.00987	0.0752	0.0175	0.0344	0.0367	-0.114	0.0251	0.0212	-0.00448	0.018
78	1	14	32	0.00658	-0.139	-0.0176	-0.0764	-0.0284	0.207	-0.0431	-0.0421	-0.00338	-0.00735
79	1	14	33	0.000119	0.0153	0.0197	0.019	0.0621	-0.0585	-0.0444	0.0208	-0.102	0.0124
80	1	14	34	0.0179	0.0114	0.0218	0.0182	0.0334	0.0466	0.029	0.0181	0.00748	0.0342
81	1	14	35	-0.0216	-0.0245	-0.0243	-0.0217	-0.0578	0.178	-0.042	0.021	0.00779	-0.0455
82	1	14	36	-0.0027	-0.00534	-0.00597	-0.011	0.0189	0.0858	-0.0547	-0.00718	-0.00584	-0.00395
83	1	14	37	0.0167	-0.0093	0.00795	-0.016	0.0224	0.046	-0.00134	-0.021	0.00486	0.0168
84	1	14	38	0.00934	0.0177	-0.00229	0.00413	0.0201	-0.0492	0.0674	-0.0116	0.0391	-0.00512
85	1	14	39	0.00283	0.0676	0.00341	0.014	0.0247	0.0957	-0.0275	0.0102	-0.00812	0.000412
86	1	14	40	-0.0122	-0.0914	0.0219	-0.0088	0.00678	0.213	0.0168	0.0462	0.0449	0.00273
87	1	14	41	-0.0299	-0.128	-0.0207	0.0186	0.0142	-0.208	-0.00748	-0.0571	-0.0157	0.00327
88	1	14	42	0.0254	-0.0352	0.0167	0.0157	0.0331	0.0309	0.0209	0.0178	0.0153	0.0193
89	1	14	44	0.0329	-0.0851	-0.0224	-0.0254	-0.0597	-0.0989	-0.0289	-0.0125	-0.14	0.0518
90	1	14	45	0.0395	-0.00176	0.00301	-0.0162	0.00188	-0.0249	-0.003	0.00857	0.0162	-0.00295
91	1	14	46	-0.0683	-0.0321	-0.0489	-0.0372	-0.0315	-0.18	0.0282	-0.0463	-0.0688	-0.0493
92	1	14	47	-0.0054	-0.00161	0.000483	-0.0102	0.00266	-0.0349	-0.0115	-0.003	0.00537	-0.00147
93	1	14	48	-0.0141	-0.124	-0.00772	-0.0341	-0.0267	0.00277	-0.00705	-0.006	-0.00152	-0.0133
94	1	14	49	-0.0231	0.0461	-0.0328	-0.0133	-0.0224	-0.115	-0.0059	-0.0128	0.0169	-0.0484
95	1	14	50	-0.000564	0.123	0.00052	0.00663	0.0251	0.166	-0.0176	-0.0541	.	0.0162
96	1	14	51	0.105	-0.00499	0.0651	0.0923	0.107	0.0197	0.0523	0.0779	0.0304	0.0635
97	1	14	53	-0.0591	-0.0514	-0.0412	-0.0924	-0.0181	-0.0807	-0.0579	-0.0508	0.0328	-0.0394
98	1	14	54	0.0853	0.173	0.0377	0.0403	0.0682	0.0498	0.0427	0.0128	0.0381	0.045
99	1	14	55	-0.0714	-0.0511	-0.032	-0.063	0.0174	0.0381	-0.0352	-0.0159	-0.0109	-0.0407
100	1	14	56	0.0215	-0.0336	-0.0087	-0.0124	-0.0218	0.0792	-0.0194	-0.0223	-0.0221	-0.00207
101	1	15	1	0.016	0.114	0.0126	0.0257	-0.00671	0.233	-0.00796	0.0306	0.00917	0.0196
102	1	15	2	0.000509	0.0387	-0.00753	-0.136	-0.00974	1.11	0.0379	0.00153	.	-0.0713
103	1	15	4	0.00171	-0.032	0.0244	-0.0116	-0.0067	0.138	0.0519	0.0302	0.0326	0.0188
104	1	15	5	0.0287	0.121	0.0145	0.0162	0.0177	-0.0598	0.00139	-0.0847	-0.00232	0.0329
105	1	15	6	0.00496	-0.0118	0.0205	0.00471	0.00145	0.11	-0.0162	0.0233	0.0144	0.0167
106	1	15	8	0.00791	0.043	0.0258	0.0275	-0.00142	-0.0101	-0.0154	0.0383	0.0366	0.0112
107	1	15	9	-0.0151	0.123	0.0393	-0.0177	0.0385	-0.397	0.0217	0.031	0.0213	0.0509
108	1	15	10	-0.038	-0.428	-0.024	0.0884	-0.0255	0.216	-0.00695	0.00225	0.109	-0.0658
109	1	15	12	0.00616	0.0565	0.0224	-0.0118	0.0151	0.0597	0.0388	0.0247	0.0195	0.0224
110	1	15	13	-0.00277	0.141	0.00596	-0.0207	-0.0101	0.026	-0.0116	-0.00348	0.021	0.00762
111	1	15	15	-0.0337	-0.0502	0.00768	0.0198	-0.0221	0.117	0.055	0.0146	0.063	-0.0101
112	1	15	16	-0.0171	0.0201	-0.0101	-0.0161	-0.0457	0.00389	0.0226	-0.266	-0.0358	-0.0133
113	1	15	17	-0.0226	0.228	0.0156	-0.0195	0.00984	0.0197	-0.0026	0.0285	-0.0142	0.0187
