reportID	continent	country_name	date	total_cases_per_million	total_tests	handwashing_facilities
1	Asia	Afghanistan	2/24/20	0.026		37.746
983	Europe	Albania	7/31/20	1833.345	36923	
1572	Africa	Algeria	1/30/21	2442.861		83.741
26986	Africa	Gambia	8/5/20	330.621	7906	7.876
27811	Europe	Germany	7/21/20	2431.456		
28500	Europe	Gibraltar	2/21/21			
28641	Europe	Greece	6/1/20	279.956	182423	
28952	North America	Greenland	1/29/21			
29342	North America	Grenada	3/15/21	1368.658		
